Front-end*HTML5*CSS*jQuery*HTML*Less*SASS*OOP,Unknown,Full-time
bi*PostgreSQL,Unknown,Full-time
ASP.NET MVC*C#*Entity Framework,Unknown,Full-time
ASP.NET MVC*Javascript,2000000,Full-time
Front-end*HTML*CSS*Javascript*Bootstrap*ReactJS*Responsive,9000000,Full-time
Front-end*HTML*CSS,4000000,Full-time
Back-end*PHP*Laravel,6500000,Full-time
تحلیل سیستم*مستندسازی*طراحی سیستم*مدلسازی,Unknown,Full-time
Javascript*CSS3*Front-end*HTML5*ES6*React,Unknown,Full-time
Front-end*Vuejs*CSS*HTML*Javascript,Unknown,Full-time&Remote
Front-end*HTML5*CSS3*ES6*typescript*RESTful APIs*ReactJS,Unknown,Full-time
Databases*oracle*Replication,Unknown,Full-time
Android*Java*Kotlin*OOP*RestFul API,9000000,Full-time
PhoneGap*برنامه‌نویسی phone gap,Unknown,Full-time&Remote
SEO*طراحی سایت*HTML,Unknown,Part-time
PHP*Laravel Framework*MySQL*Javascript,4000000,Full-time
HTML5*CSS3*Javascript*jQuery,Unknown,Full-time
Apache Cordova,Unknown,Part-time
PHP,Unknown,Full-time&Remote
yii2,Unknown,Full-time&Remote
Full-stack*ASP.NET Core*Front-end*Back-end,Unknown,Full-time
Laravel*PHP*REST API,6500000,Full-time
C#*WPF*MVVM*OOP*SQL,Unknown,Full-time
پشتیبانی نرم افزار*SQL*پشتیبانی,Unknown,Full-time
Front-end*Bootstrap*AngularJS*jQuery*HTML*CSS*Javascript,Unknown,Full-time
MVC*.NET Core*Object Oriented*Databases*SQL*Sql Server*OOP,Unknown,Full-time
Scrum Master*مديريت پروژه چابک*ارائه گزارش,2000000,Full-time
PHP,Unknown,Full-time
مدیریت سایت*Wordpress*Cpanel*تولید محتوا,4000000,Full-time
PHP*MySQL*MVC*Laravel*Symfony*Bootstrap*Git,6500000,Full-time
SEO*SEO On Page*SEO Off Page*Google Analytics*Google Search Console,Unknown,Full-time
برنامه نویسی موبایل*Android*RESTful,Unknown,Full-time
ASP.NET MVC*ASP.NET*SQL,Unknown,Full-time
تحلیل نرم افزار*کارآموزی,Unknown,Full-time
Sql Server*jQuery*#C*ASP.NET Core,Unknown,Full-time
.NET*ASP.NET MVC*C#*MVC*OOP*TSQL*Sql Server*SQL*jQuery,Unknown,Full-time
برنامه نویسی وب*ASP.NET MVC*Sql Server*Angular,Unknown,Full-time
Wordpress*Bootstrap*jQuery*Javascript*CSS3*HTML5*HTML*Angular,3000000,Full-time
agile*product management,Unknown,Full-time
مستندسازی*Databases*UML*OOP,Unknown,Full-time
Java*OOP*JAVA EE*Spring MVC,Unknown,Full-time&Remote
کارآموزی*برنامه نویسی  اندروید,Unknown,Full-time
کارآموزی*وردپرس,Unknown,Full-time
Javascript*react native*HTML*CSS,Unknown,Full-time
Laravel*CSS*HTML*MVC*PHP,Unknown,Full-time
کارآموزی*Java,Unknown,Full-time
PHP*OOP*RestFul API,Unknown,Full-time
تست نرم افزار*Linux*مستندسازی,Unknown,Full-time
Front-end*Javascript*CSS*HTML*Bootstrap*Responsive*PSD,Unknown,Full-time
Python*Django*PostgreSQL*MySQL*OOP,Unknown,Full-time
مدیریت فنی*HTML*CSS*Javascript,4000000,Full-time
Data science*Data Mining*Python,Unknown,Full-time
PHP*Back-end*Laravel*Git*MySQL,Unknown,Full-time
QA*API*Automated Test,Unknown,Full-time&Remote
طراحی سایت*Wordpress*طراحی قالب وردپرس,2000000,Full-time
.NET*C#*MS SQL*SQL,Unknown,Full-time
طراح اپلیکیشن موبایل*Git*Flutter*dart,9000000,Full-time
طراحی سایت*Wordpress,2000000,Full-time
ASP.NET Core*MVC*C#*CSS3*HTML5*AJAX,Unknown,Full-time
Back-end*Laravel*PHP,Unknown,Full-time
Wordpress*woocommerce*HTML*CSS,Unknown,Full-time&Remote
Wordpress*PHP*HTML5*Javascript*jQuery,Unknown,Full-time
